UNIQUE_KEY;Nom_usuel;Prenom_usuel;Titre_usuel;Sexe;Nationalite;Date_naissance_recherche;Lieu_naissance;Date_deces_recherche;Lieu_deces;Profession;Commentaire biographique;Programme;Etat_avancement_saisie
144495;Augier;;;masculin;;19e siècle;;19e siècle;;;Il pourrait s'agir de Paul Augier ou du poète et dramaturge Emile Augier.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
159212;Auguste;;;inconnu;;19e siècle;;19e siècle;;;Son nom figure parmi les acheteurs lors de la vente Durand (1836).;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
161234;Bachofen;Johann Jakob;;masculin;;22 décembre 1815;Bâle;25 novembre 1897;Bâle;collectionneur;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
158231;Bafses;;;inconnu;;;;;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
144578;Bailleul;;;inconnu;;19e siècle;;19e siècle;;;Son nom figure parmi les acheteurs lors de la vente Beugnot (1840). Une vente Bailleul a lieu à Paris le 1er avril 1853 (Lugt n° 21294) : est-ce le même ?;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
142522;Barbier;;;masculin;;19e siècle;;19e siècle;;;Barbier figure parmi les acheteurs lors de la vente Mainvielle-Fodor (1828).;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
158244;Baron;;;inconnu;;;;;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
165008;Barrachon;;;masculin;;;;;;collectionneur;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
165827;Basilewsky;Alexandre;;masculin;"Russie;";1829;Russie;1899;Paris;diplomate;Issu de l'aristiocratiue Russe, né en Ukraine, Alexander Basilewsky fait une carrière de diplomate à partir des années 1850. En 1860, il est ambassadeur à Vienne, avant de rejoindre la Toscane et vit à Florence. Dans les années 1860, il s'installe à Paris, d'abord au 85 de la rue Saint-Dominique, puis au 25 rue du Faubourg Saint-Honoré, et enfin à partir de 1864 sur a future avenue Kléber, dans l'hôtel qu'il fait bâtir. Il le revend en 1868, pour s'installer au 69 bd Malhesherbes, puis au 49 rue Blanche. Il reçoit dans ses dîner le monde des antiquaires et collectionneurs. Il fut proche du prince Soltykoff, autre collectionneur de renom, et d'Alfred Darcel, conservateur du musée de Cluny, et a fréquenté l'intégralité, ou presque, du milieu parisien. Il constiture une large collection d'objets d'art, essentiellement médiévaux et renaissance, lors des ventes parisiennes en particulier, d'armes et autres militatria dans les années 1850, puis d'objets d'art et de peintures à partir de la vente Fould de 1860. Il acquiert des antiquités, aussi, lors de la vente Paravey de 1879 par exemple. Sa collection est présentée lors des expositions rétrospectives de 1865 et 1867 et au Trocadéro en 1874. Sa collection est intégralement vendue au Tsar Nicolas III en 1885, et rejoint l'Hermitage.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
79313;Baudart;André Léon;;masculin;;28 avril 1803 (8 Floréal An 11);Rouen;Avant 1895;;;"Biographie rédigée par Marie-Laure Crosnier Leconte : Matricule de l'Ecole des Beaux-Arts : 639. André Léon Baudart, né à Rouen (Seine-Maritime) le 8 Floréal an 11 (28 avril 1803) [d'après le registre matricule AJ/52/239, 23 avril 1803 d'après le registre matricule AJ/52/237], élève de François Debret, admis le 6 décembre 1824, 2è classe le 6 décembre 1824, son dossier d'élève ne contient que sa feuille de valeurs, obtient 2 2è mentions en construction en fers et perspective, toutes deux le 12 mai 1826 (architecte à ?; mort avant 1895; Archives nationales de France, AJ/52/354, dossier d'élève; Delaire)";"Dictionnaire des élèves architectes de l?École des beaux-arts de Paris (1800-1968) - INHA;";Publiée
165828;Baudouin;Henri;;masculin;"France;";;;;;collectionneur;"Le nom Baudouin apparaît sur le PV de la vente Paravey en 1879, suivi d'une adresse, ""86 (bd) Haussmann"" à Paris. L'adresse correspond à Henri Baudouin sur la liste des membres du Bulletin de la Société de l'histoire de Paris et de l'Île de France au 1er janvier 1879, et en mars 1879 sur la liste de nomination des membres de la Société Française d'Archéologie. C'est probablement le même Henri Baudouin qui apparaît comme membre de la Société de Géographie dès 1871, et qui a été photographié par Alexandre Quinet, dans la série des portraits sur plaques de verres des membres de la Société de Géographie, daté de 1884 pour l'édition (Bibliothèque nationale de France, département Société de Géographie, SG PORTRAIT-669). Il ne doit pas être confondu avec le commissaire-priseur homonyme (1876-1963) qui débute sa carrière en 1908.";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
165829;Baure;;;inconnu;;;;;;collectionneur;Le nom n'apparaît qu'une fois sur le PV de la vente Paravey. Il n'est pas identifié, et l'othographe même n'est pas certain.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
158962;Beaubois;de;;masculin;;;;;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
160917;Beaumon;;;inconnu;;19e siècle;;19e siècle;;;Son nom figure parmi les acheteurs de la vente Beugnot (1840).;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
147354;Beauvau-Craon;Charles-Just;Prince de Beauvau;masculin;"France;";7 mars 1793 (17 Ventôse An 1);;14 mars 1864;Paris;collectionneur;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
5872;Becdelièvre;François-Gabriel;;masculin;"France;";28 mai 1778;Le Puy-en-Velay;1er octobre 1855;Feurs;archéologue;"Historien et peintre, le vicomte de Bec de Lièvre (François-Gabriel de Becdelievre, 1778-1855) est le fondateur de la Société d'agriculture du Puy-en-Velay en Haute-Loire, et directeur du Musée du Puy (actuel Musée Crozatier) dont il fut l'un des fondateurs en 1823. En 1821, il est décoré de la légion d'honneur ; on lui doit la création des écoles industrielles inaugurées en 1829. Il est aussi peintre de compositions religieuses, portraits, paysages : en 1830, il abandonne toute activité publique et entreprend un album de lithographies des principaux monuments de la Haute-Loire, dont il ne paraît qu'un petit nombre de livraisons. Membre de la société académique de la Haute-Loire au Puy-en-Velay, il joue un rôle important dans l'archéologie du département.(Annales scientifiques, littéraires et industrielles de l'Auvergne, vol. 14 (1841), p. 380-381). Il demande notamment au Comité historique des arts et monuments le 22 mai 1839 d'appuyer auprès du Ministre de l'Instruction publique un appui financier pour continuer les fouilles du ""Puits de l'abîme"" de Polignac en Haute-Loire (Journal général de l'instruction publique et des cours scientifiques et littéraires, vol. 8, 4 sept. 1839, p. 480), défenseur de l'existence, jamais prouvée archéologiquement, d'un temple consacré au dieu Apollon sous ou dans les ruines du château médiéval. Il est d'ailleurs l'auteur d'un volume sur le sujet : Quelques notes en réponse à celles publiées par M. Mérimée sur Polignac, ses antiquités et le musée du Puy, Extrait des ""Annales de la Société d'agriculture, sciences, arts et commerce du Puy"". 1837-1838, Édition : Le Puy : Impr. de J.-B. Gaudelet , 1839, 1 col. 55p. Il est nommé le 18 juin 1835 comme membre correspondant de la Société des antiquaires de l'Ouest (Poitiers).";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
165842;Belfort;Auguste;de;masculin;"France;";1824;;1907;;collectionneur;Auguste de Belfort, issu de l'aristocratie, travaille pour l'administration impériale en tant que conseiller de préfecture. Il occupe le poste de trésorier de la Société Française de Numismatique en 1869, puis devient directeur de la l'Annuaire de la Société française de numismatique. Il fréquente intensément le Cabinet des Médailles, où il rédige la Description générale des monnaies mérovingiennes, publiée en cinq volume entre 1892 et 1895. Il acquiert sur le marché essentiellement des pièces de monnaie, mais aussi des antiques comme le montre le procès-verbal de la vente Paravey. Une partie de sa collection de numismatique est vendue en 1888.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
147778;Bellon;Louis-Gabriel;;masculin;;20 octobre 1819;Lille;1899;;commerçant;"Fils d'un commerçant de textiles fortuné dont il poursuit les activités, il fut aussi peintre amateur (ami de Corot), collectionneur et archéologue, domicilié à Saint-Nicolas-lez-Arras de 1840 à 1852, puis à Rouen essentiellement jusque 1896, tout en conservant la propriété de Saint-Nicolas. Il est initié à l'archéologie par Auguste Terninck : il entreprend des fouilles dans la région d'Arras. Il est nommé à la Commission des Monuments historiques du Pas-de-Calais le 3 avril 1879, et membre correspondant de l?Académie d?Arras la même année. C'est à Paris qu'il constitue l'essentiel de sa collection, tournée vers les antiquités classiques, les terres cuites grecques en particulier. Il achète, par exemple, lors de la vente Paravey (1879). Après sa mort en 1899, la collection est amplifiée par son fils Paul, qui fait de la demeure de Saint-Nicolas un musée privé. La maison est bombardée en 1914-1915, une partie de la collection est alors détruite. Elle est ensuite en partie diispersée entre les héritiers successif ; la majeure partie passe en vente publique à Vannes, le 4 avril 2009.";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
162013;Benard;;;inconnu;;18e siècle;;19e siècle;;;Son nom figure parmi les acheteurs lors de la vente Choiseul-Gouffier. Il pourrait s'agit du collectionneur Jean-Baptiste Bénard (1781-1854) .;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
145296;Benoist;;;inconnu;;19e siècle;;19e siècle;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
162699;Benoît;;;inconnu;;;;;;collectionneur;"Le nom ""Benoît"" apparaît pour l'achat trois lots lors de la vente Pourtalès (1865).";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
3513;Berger;Georges;;masculin;"France;";5 octobre 1834;Paris;8 juillet 1910;Versailles;;Berger achète quatre lots lors des ventes Piot de 1864 et Pourtalès de 1865.;"Documents d'archives et documents photographiques de la Bibliothèque de l'Institut national d'histoire de l'art - INHA;Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
166218;Bernheimer;Konrad G.;;masculin;"Allemagne;";1950;;;;galeriste;;"Les sculptures allemandes dans les collections publiques françaises (vers 1450-1530), bois et bois polychromé - INHA / Musée du Louvre;";En cours de saisie
158559;Berrard;;;inconnu;;;;;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
161273;Berthelin;;;masculin;;19e siècle;;19e siècle;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
15466;Bertrand;;;masculin;;;;;;;trois pages de Bertrand dans Bénézit;"Livres français d'architecture (1512-1914) - INHA;Les collections Rothschild dans les institutions publiques françaises - INHA;";Publiée
162726;Bertrand de Saint Germain;Guillaume Scipion;Docteur;masculin;"France;";1810;;1884;;collectionneur;"Il s'agit du ""docteur Bertrand, de Saint-Germain"", dont la collection est vendue le 3 Mai 1884 à Paris. Il achète lors des ventes Pourtalès, Lassalle, Janzé. Guillaume-Scipion de Saint Germain fut médecin, écrivain et collectionneur.";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
160581;Besque;;;inconnu;;19e siècle;;19e siècle;;;Il figure parmi les acheteurs lors de la vente Beugnot (1840). Son nom est suivi de son adresse sur le procès-verbal, mais l'ensemble est difficile à lire.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
164960;Béthouart;Augustine Marie Pauline;;féminin;;;;;;;;"Les sculptures allemandes dans les collections publiques françaises (vers 1450-1530), bois et bois polychromé - INHA / Musée du Louvre;";En cours de saisie
144435;Beugnot;Gustave Adolphe;vicomte;masculin;;1799;Bar-sur-Aube;29 mars 1861;Versailles;collectionneur;Gustave-Adolphe Beugnot (1799-1861) est un collectionneur et diplomate français. Il est le fils du Comte Jacques Claude Beugnot (1761-1835), ministre de la police de Louis XVIII, avocat au Parlement de Paris, député de l'Aube à l'Assemblée Législative et préfet de Sein Inférieure. Sa soeur, Clémentine Curial, était l'amante de Stendhal (Henri Beyle, 1783-1842). À l'âge de 15 ans, en 1814, il entre dans le régiment des Chevau-Légers de la Garde royale, puis dans celui des Grenadiers à cheval. De 1821 à 1825, il devient Attaché aux archives de la légation à Francfort, puis Troisième secrétaire de légation par intérim à Hanovre de juin à décembre 1825. Il est ensuite nommé comme Troisième secrétaire de l'Ambassade du Roi à Constantinople de décembre 1825 à septembre 1829, puis, alors Capitaine d'État Major et après avoir tenté de rejoindre l'Ambassade de Naples sous la direction du Duc de Blacas, il est nommé Secrétaire d'Ambassade à Rome de septembre 1829 à 1835. En poste à Rome, le Baron Beugnot (nommé Vicomte suite à la mort de son père en 1835), devient une figure incontournable du milieu archéologique romain. Il est désigné membre honoraire de l'Institut de correspondance archéologique en 1831 et sa collection d'antiques, constituée en Grèce (notamment à Égine avant son arrivée à Rome) et dans le marché italien des antiquités, en particulier romain, est mise à disposition des chercheurs. Elle est notamment utilisée dans le vif débat de l'origine des vases, grecs ou étrusques, découverts à Vulci, qui opposait notamment les membres de l'Institut et Lucien Bonaparte. Gustave-Adolphe Beugnot assista également à l?exceptionnelle découverte de l'Apollon de Piombino en 1832, au large de Populonia, finança des fouilles des Frères Campanari à Vulci (nécropole de l'Osteria, Tumulus dit Poggio dei Guerrieri) en 1832 et fit réouvrir à ses frais trois tombeaux de Tarquinia, dont la Tome du Mort et la Tombe du Typhon, découverts par le Cavaliere Manzi dans la nécropole de Monterozzi (propriété des frères Marzi). De retour à Paris, il continua d'enrichir sa collection d'antiques en achetant aux ventes Durand (1836) et Canino (1837, 1840), avant de la mettre en vente de 5 au 13 mai 1840. Une grande partie des objets de sa collection est désormais conservée au Musée Vivenel de Compiègne, au Musées des Antiquités de Rouen, au Chateau-Musée de Boulogne-sur-Mer (collection Panckoucke), au Musée du Louvre et au British Museum.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;Histoire des vases grecs (1700-1850) - INHA;Digital Muret - INHA;";Publiée
145217;Bichops;;;inconnu;;19e siècle;;19e siècle;;;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
162700;Billoin;Charles;;inconnu;;;;;;avocat;"Le nom ""Billoin"" se retrouve sur les PV des ventes Pourtalès (1865) et Piot (1864), avec une adresse, le 6 avenue de Matignon. Cette adresse correspond à celle de Billoin, avocat, sur l'Annuaire et almanach du commerce, de l'industrie, de la magistrature et de l'administration de 1862. Il achète fréquemment lors des ventes publiques à Paris. Sa collection d'objets d'art est vendue en 1884 (Lugt 52471), sa collection de monnaies et médailles grecques en 1886 (Lugt 45547), et d'autres ventes ont lieu en 1893 et 1894.";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
159500;Blacas d'Aulps;Louis-Charles-Pierre-Casimir;Duc de;masculin;"France;";15 avril 1815;;22 février 1866;;collectionneur;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
7891;Blacas d'Aulps;Pierre-Louis-Jean-Casimir;duc de;masculin;"France;";10 janvier 1771;Avignon;17 novembre 1839;Vienne (Autriche);diplomate;Sous-lieutenant au Noailles-Dragons Maréchal de camp (1814) Ministre de la Maison du Roi (1814) Grand-maître de la garde-robe (1809) Intendant général des bâtiments de la Couronne Pair de France (1815) Ambassadeur à Naples Membre de l?Académie des Inscriptions et Belles-lettres Membre de l?Académie des beaux-arts Chevalier du Saint-Esprit (1820) Chevalier de la Légion d?honneur (1821) Officier de la Légion d?honneur (1823) Pierre-Louis-Jean-Casimir duc de Blacas est issu d?une famille noble. Le 17 aout 1815, il est nommé pair de France et obtient le titre de Comte de Blacas d?Aulps. Celui de duc lui est attribué le 30 avril 1821 par Louis XVIII. En 1817, Il est à Rome pour plusieurs années et fréquente les chantiers de fouilles ainsi que les musées. Il est de retour à Paris en 1828 aux côtés de Théodor Panofka. Durant de nombreuses années, le duc réunit des objets et parvient à se former une importante collection comportant des antiquités grecques et romaines (vases, gemmes, argents, ors, bronzes, inscriptions, marbres et peintures romaines, monnaies). Une grande partie de la collection est constituée d?antiques mais il collectionne aussi les ?uvres modernes (tableaux, gemmes). Les objets sont achetés pour la plupart au cours de ses voyages (Italie, Russie et Angleterre). Les acquisitions importantes ont lieu entre 1815 et 1830, alors que le duc est ambassadeur à Rome puis à Naples, véritables plaques tournantes du marché des antiquités. Ses correspondances témoignent de manières assez récurrentes de son esprit de collectionneur et démontrent qu?il est en contact avec les experts, marchands et savants de son temps. A Florence, il est en contact avec François-Xavier Fabre qui lui sert d?intermédiaire et conseiller entre 1815 et 1822. A Rome, c?est Gherardo De Rossi qui occupe ce rôle et à Naples, Théodor Panofka à qui Blacas confie la rédaction du catalogue de sa collection. Les bonnes relations qu?il entretient avec la famille royale de Naples lui permettent d?exporter à la fois les objets issus de ses fouilles mais également ses achats. En 1866, à la mort de son fils, la collection est vendue à Paris au British Museum, représenté par Charles Newton. Ce dernier, appuyé par son gouvernement, parvient à devancer les experts du musée du Louvre, au grand désarroi des Français qui assistent au départ de l?une des dernières grandes collections françaises du XIXe siècle. Les archives privées de la famille Blacas sont aujourd'hui conservées au château d'Ussé en Indre-et-Loire.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;Histoire des vases grecs (1700-1850) - INHA;";Publiée
164199;Blanchet;Jules Adrien;;masculin;"France;";1866;Paris;1957;Paris;numismate;;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
161275;Blanchon;;;masculin;;19e siècle;;19e siècle;;;Il pourrait s'agir de Blanchon Gilles, architecte.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
162713;Blondin;;;inconnu;;;;;;collectionneur;"Le nom Blondin apparaît en 1865 dans le PV de la vente Pourtalès, où il est noté ""à St Germain"" et en 1866 dans celui de la vente Janzé, où il est suivi d'une adresse, ""20 rue Mathurins"". Il se peut qu'il s'agisse de deux personnes distinctes.";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
166221;Boccador;Jacqueline;;féminin;"France;";;;;;antiquaire;;"Les sculptures allemandes dans les collections publiques françaises (vers 1450-1530), bois et bois polychromé - INHA / Musée du Louvre;";En cours de saisie
162714;Boeckh;August;;masculin;;1785;Karlsruhe;1867;Berlin;collectionneur;Le nom Boecke apparaît, parfois écrit Boëcke ou Boeche, sur le PV de la vente Pourtalès en 1865 lors de laquelle il achète 25 lots d'antiquités, pour l'essentiel des pièces de monnaies et quelques bronzes. Il s'agit certainement du célèbre philologue et antiquaire Allemand August Boeckh / Böckh.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
161986;Boisfremont;;;inconnu;;18e siècle;;19e siècle;;;Son nom figure parmi les acheteurs de la vente Choiseul-Gouffier. Il pourrait s'agir du peintre Charles Boulanger de Boisfrémont (1773-1838).;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";En cours de saisie
162728;Boismont;;de;inconnu;;;;;;collectionneur;Ce nom apparaît sur le procès-verbal de la vente Pourtalès en 1865.;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
162715;Boissot;;;inconnu;;;;;;collectionneur;"Le nom très difficilement lisible reproduit ici comme ""Boissot"" pourrait être une erreur de lecture. Il n'apparaît qu'une seule fois sur le PV de la vente Pourtalès (lot 344), et ne se retrouve pas sur ceux des ventes Piot (1864) et Janzé (1866).";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
144503;Bonaparte;Lucien;prince de Canino;masculin;;21 mai 1775;Ajaccio;29 juin 1840;Viterbe;ministre;Lucien Bonaparte (1775-1840) est le frère de l'empereur Napoléon Ier. Ministre de l'Intérieur en 1799 puis ambassadeur en Espagne de 1800 à 1802, il est nommé membre de l'Institut en janvier 1803 mais en est exclu par l'ordonnance royale en mars 1816. Après la mort de sa première épouse, il épouse en 1803 Alexandrine de Bleschamp (1778-1855), veuve Jouberthon. Cette union critiquée lui vaut les foudres de son frère et Lucien Bonaparte est contraint de partir en Italie près du Pape Pie VII, où il s'installe dès 1805 à Vulci près de Viterbe, dans son domaine de Canino érigé par le pape en principauté. Après un enfermement en prison par les Britanniques de 1810 à 1814 et de retour à Rome, il est fait prince de Canino le 31 août 1814 par le pape Pie VII. Avec son épouse Alexandrine de Bleschamps, Lucien Bonaparte découvre en 1828 dans sa propriété des milliers de « vases étrusques » qui fascinent la communauté archéologique de l'époque, notamment l'Institut de correspondance archéologique de Rome, à propos desquels Eduard Gherard publiera son célèbre Rapporto intorno i vasi Volcenti en 1831. Les fouilles menées à Vulci, rapidement connues par l'ouvrage que Lucien Bonaparte fait publier à Viterbe chez Tosoni en 1829, Museum étrusque de Lucien Bonaparte prince de Canino. Fouilles de 1828 à 1829, mettent au jour une quantité d'antiquités grecques et étrusques, dont une somme considérables de vases, et sont l'occasion d'une véritable entreprise archéologique à but commercial, qui perdure après sa mort en 1840. Les ventes aux enchères des fouilles Canino ont lieu à Paris en 1834, 1837, 1840, 1843, 1845, 1848 et 1849.;"Histoire des vases grecs (1700-1850) - INHA;Répertoire des ventes d'antiques en France au XIXe siècle - INHA;Documents graphiques de la Bibliothèque de l'Institut national d'histoire de l'art - INHA;Digital Muret - INHA;";Publiée
162716;Bookes;;;inconnu;;;;;;collectionneur;"Le nom ""Bookes"" pourrait être une lecture erronée ; il apparaît à cinq reprises sur une seule page du PV de la vente Pourtalès en 1865. Il acquière ainsi un ensemble de verres qui n'ont pas été identifiés (lots 1084, 1102, 1104, 1106, 1113). Il se pourrait s'agir du même Boëcke / Boecke, que nous supponsons être August Böckh.";"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
145214;Boques;;;masculin;;19e siècle;;19e siècle;;;Il figure parmi les acheteurs lors de la vente Dubois (1847).;"Répertoire des ventes d'antiques en France au XIXe siècle - INHA;";Publiée
